Entity,Code,Year,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID,time,time,time
Mexico,MEX,2024,6.678,22142.607,North America,2023,2023,2023
Moldova,MDA,2024,5.816,15855.273,Europe,2023,2023,2023
Mongolia,MNG,2024,5.696,16222.864,Asia,2023,2023,2023
Montenegro,MNE,2024,5.707,27869.65,Europe,2023,2023,2023
Morocco,MAR,2024,4.795,8868.712,Africa,2023,2023,2023
Mozambique,MOZ,2024,5.216,1511.6365,Africa,2023,2023,2023
Myanmar,MMR,2024,4.354,5364.138,Asia,2023,2023,2023
Namibia,NAM,2024,4.832,10105.515,Africa,2023,2023,2023
Nepal,NPL,2024,5.158,4859.8003,Asia,2023,2023,2023
Netherlands,NLD,2024,7.319,71446.695,Europe,2023,2023,2023
New Zealand,NZL,2024,7.029,48826.574,Oceania,2023,2023,2023
Nicaragua,NIC,2024,6.284,7486.943,North America,2023,2023,2023
Niger,NER,2024,4.556,1703.397,Africa,2023,2023,2023
Nigeria,NGA,2024,4.881,5593.0566,Africa,2023,2023,2023
North Macedonia,MKD,2024,5.369,23584.564,Europe,2023,2023,2023
Norway,NOR,2024,7.302,90469.81,Europe,2023,2023,2023
Oman,OMN,2024,6.197,38311.418,Asia,2023,2023,2024
Pakistan,PAK,2024,4.657,5439.1875,Asia,2023,2023,2023
Palestine,PSE,2024,4.879,5313.098,Asia,2023,2023,2023
Panama,PAN,2024,6.358,35863.88,North America,2023,2023,2023
Paraguay,PRY,2024,5.977,15783.115,South America,2023,2023,2023
Peru,PER,2024,5.841,15294.257,South America,2023,2023,2023
Philippines,PHL,2024,6.048,9901.057,Asia,2023,2023,2023
Poland,POL,2024,6.442,44384.168,Europe,2023,2023,2023
Portugal,PRT,2024,6.03,41755.48,Europe,2023,2023,2023
Romania,ROU,2024,6.491,40665.527,Europe,2023,2023,2023
Russia,RUS,2024,5.785,39753.457,Europe,2023,2023,2023
Rwanda,,,3.268,2731.09,Africa,2023,2021,2021
Saudi Arabia,SAU,2024,6.594,55055.4,Asia,2023,2023,2023
Senegal,SEN,2024,4.969,4317.2266,Africa,2023,2023,2023
Serbia,SRB,2024,6.411,26030.021,Europe,2023,2023,2023
Sierra Leone,SLE,2024,3.245,3034.219,Africa,2023,2023,2023
Singapore,SGP,2024,6.523,127543.555,Asia,2023,2023,2023
Slovakia,SVK,2024,6.257,39290.434,Europe,2023,2023,2023
Slovenia,SVN,2024,6.743,48243.94,Europe,2023,2023,2023
Somalia,SOM,2024,4.347,1402.47,Africa,2023,2023,2024
South Africa,ZAF,2024,5.422,13690.39,Africa,2023,2023,2023
South Korea,KOR,2024,6.058,50572.25,Asia,2023,2023,2023
Spain,ESP,2024,6.421,47141.543,Europe,2023,2023,2023
Sri Lanka,LKA,2024,3.898,13029.524,Asia,2023,2023,2023
Sweden,SWE,2024,7.344,63114.68,Europe,2023,2023,2023
Switzerland,CHE,2024,7.06,82557.55,Europe,2023,2023,2023
Tajikistan,TJK,2024,5.281,4472.324,Asia,2023,2023,2023
Tanzania,TZA,2024,3.781,3620.7935,Africa,2023,2023,2023
Thailand,THA,2024,5.976,21142.664,Asia,2023,2023,2023
Togo,TGO,2024,4.214,2767.5166,Africa,2023,2023,2023
Trinidad and Tobago,TTO,2024,5.905,31705.834,North America,2023,2023,2024
Tunisia,TUN,2024,4.422,12552.986,Africa,2023,2023,2023
Turkey,TUR,2024,4.975,34609.914,Asia,2023,2023,2023
Turkmenistan,,,5.474,16434.14,Asia,2023,2021,2021
Uganda,UGA,2024,4.372,2791.0557,Africa,2023,2023,2023
Ukraine,UKR,2024,4.873,15885.226,Europe,2023,2023,2023
United Arab Emirates,ARE,2024,6.733,68577.54,Asia,2023,2023,2023
United Kingdom,GBR,2024,6.749,54542.016,Europe,2023,2023,2023
United States,USA,2024,6.725,74577.51,North America,2023,2023,2023
Uruguay,URY,2024,6.611,31019.31,South America,2023,2023,2023
Uzbekistan,UZB,2024,6.195,10007.686,Asia,2023,2023,2023
Vietnam,VNM,2024,6.043,13491.88,Asia,2023,2023,2023
Zambia,ZMB,2024,3.502,3673.4841,Africa,2023,2023,2023
Zimbabwe,ZWE,2024,3.341,3442.2512,Africa,2023,2023,2023
